Название;Сслыка;Цена;Место;Время с момента публикации
Диван-кровать Лидер-2 Люкс;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_lider-2_lyuks_1204237946;23 500;р-н Правобережный;1 неделю назад
Диван-кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_1978800831;19 000;р-н Советский;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1619690256;16 500;р-н Советский;2 недели назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1527846306;24 500;р-н Советский;2 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_984841566;7 200;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1922644304;6 500;р-н Октябрьский;3 недели назад
Диван от производителя новый;https://www.avito.ru//lipetsk/mebel_i_interer/divan_ot_proizvoditelya_novyy_585898640;7 200;р-н Октябрьский;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1453566524;15 500;р-н Советский;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1974941116;80 000;р-н Советский;19 июля 17:08
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1043502481;19 390;р-н Правобережный;3 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1003798420;6 000;р-н Правобережный;6 дней назад
Угловой диван;https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divan_1983906687;17 000;р-н Советский;6 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1840247306;3 000;р-н Советский;2 недели назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1084031581;7 500;р-н Правобережный;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1176875589;14 500;р-н Правобережный;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1972966961;7 000;р-н Советский;21 июля 13:34
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1200278703;5 200;р-н Советский;1 неделю назад
