Название;Сслыка;Цена;Место;Время с момента публикации
Диван Лидер 3 трехвыкатной;https://www.avito.ru//lipetsk/mebel_i_interer/divan_lider_3_trehvykatnoy_1926654383;22 600;р-н Советский;1 день назад
Диван-кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_1977909503;7 000;р-н Октябрьский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1956590572;11 500;р-н Октябрьский;3 дня назад
Диван-кровать чебурашка;https://www.avito.ru//lipetsk/mebel_i_interer/divan-krovat_cheburashka_1981093457;10 500;р-н Советский;1 день назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1955148615;3 000;р-н Октябрьский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1957180595;20 000;р-н Советский;1 день назад
Диван детский;https://www.avito.ru//lipetsk/mebel_i_interer/divan_detskiy_1979722568;8 000;р-н Советский;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1974286069;3 000;р-н Левобережный;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1963010347;20 500;р-н Правобережный;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1686362656;10 650;р-н Правобережный;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_824586049;8 000;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1967240772;3 500;;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1041271470;11 000;р-н Советский;2 дня назад
"Диван угловой с ортопедическим эффектом""Венеция 2""";https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_s_ortopedicheskim_effektomvenetsiya_2_1084337164;35 000;р-н Советский;3 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1968981846;2 000;р-н Правобережный;1 день назад
Диван и два кресла;https://www.avito.ru//lipetsk/mebel_i_interer/divan_i_dva_kresla_1957671948;1 800;р-н Октябрьский;1 день назад
